Engine Si2e(L),Cylin3ers,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),,CO2 Emissions(g/km),,CO2 Rating,Smog Rating
6.4,8,2,15.8,9.6,13,22,,305,,3,1
6.4,8,2,16.7,10.4,13.9,20,,325,,3,1
6.2,8,2,17.6,10.7,14.5,19,,339,,3,1
6.2,8,2,18.1,11.4,15.1,19,,352,,3,1
6.2,8,2,18.6,11.3,15.3,18,,359,,2,1
6.2,8,2,18.1,11.4,15.1,19,,352,,3,1
3.6,6,1,12.4,7.8,10.3,27,,242,,5,5
5.7,8,1,14.7,9.4,12.3,23,,289,,4,3
6.4,8,2,15.8,9.6,13,22,,305,,3,1
3.6,6,1,12.8,8.7,11,26,,258,,4,5
6.4,8,2,15.8,9.6,13,22,,305,,3,1
6.2,8,2,19,11.5,15.6,18,,368,,2,1
3.6,6,1,12.7,9.6,11.3,25,,265,,4,7
5.7,8,1,16.7,10.9,14.1,20,,331,,3,5
6.4,8,2,18.3,12.2,15.6,18,,363,,2,1
1.3,4,1,10,7.9,9.1,31,,221,,5,6
2.3,4,1,12.1,11.2,11.7,24,,275,,4,5
2.3,4,1,12.1,11.4,11.8,24,,277,,4,5
2.7,6,1,12.8,11.9,12.4,23,,291,,4,6
2.3,4,1,13.5,14,13.7,21,,323,,3,5
2.3,4,1,14.9,13.5,14.3,20,,336,,3,5
2.7,6,1,14.1,14.1,14.1,20,,331,,3,6
2.3,4,1,13.1,13.1,13.1,22,,308,,3,5
2.3,4,1,13.8,12.4,13.2,21,,310,,3,5
2.3,4,1,13.1,13.8,13.4,21,,314,,3,5
2.3,4,1,13.8,13.1,13.5,21,,317,,3,5
2.7,6,1,14.1,14.1,14.1,20,,331,,3,6
1.5,3,1,9.3,8.4,8.9,32,,209,,5,7
2,4,1,11.1,9,10.2,27,,240,,5,5
2,4,1,10.4,8,9.3,30,,219,,5,5
2,4,1,11.5,8.4,10.1,28,,238,,5,6
2,4,1,11.6,8.5,10.2,28,,239,,5,6
2.7,6,1,12.6,9.3,11.2,25,,262,,4,5
1.5,3,1,8.5,6.8,7.8,36,,182,,6,7
1.5,3,1,9,7.6,8.4,34,,198,,6,7
2,4,1,10.5,7.5,9.2,31,,216,,5,5
2.5,4,1,5.4,6.3,5.8,49,,136,,8,7
2.5,4,1,5.5,6.4,5.9,48,,139,,8,7
3.5,6,1,14.8,10.6,12.9,22,,304,,3,6
3.5,6,1,15.4,11.2,13.5,21,,317,,3,6
3.5,6,1,14.5,12.3,13.5,21,,317,,3,6
3.5,6,1,15.2,12.3,13.9,20,,326,,3,6
2.3,4,1,11.7,8.6,10.3,27,,242,,5,6
2.3,4,1,12,9,10.7,26,,252,,5,6
2.3,4,1,12.2,10.5,11.5,25,,269,,4,6
2.3,4,1,12.5,11,11.8,24,,277,,4,6
3,6,1,13.4,9.8,11.8,24,,277,,4,5
3.3,6,1,10.1,9,9.6,29,,225,,5,6
2.7,6,1,12.1,9.4,10.9,26,,256,,5,6
2.7,6,1,13.5,10.1,12,24,,282,,4,6
3.3,6,1,12.1,9.8,11.1,25,,260,,4,6
3.3,6,E,16.8,12.8,15,19,,249,,5,6
3.5,6,1,13.1,9.9,11.7,24,,275,,4,6
3.5,6,1,13.7,10,12,24,,281,,4,6
5,8,1,14.4,10.8,12.8,22,,300,,3,5
